alabojiao 阿拉伯胶
suancaioupian 酸菜藕片
suancaiyouyu 酸菜鱿鱼
suancaiyu 酸菜鱼
suancaizhuyu 酸菜煮鱼
suancheng 酸橙
suandou 酸豆
suandoujiaochaoroumo 酸豆角炒肉末
suandutiaojieji 酸度调节剂
suanlabaicai 酸辣白菜
suanlafen 酸辣粉
suanlafengzhao 酸辣凤爪
suanlagourou 酸辣狗肉
suanlaguapian 酸辣瓜片
suanlahaishenguoba 酸辣海参锅巴
suanlajiding 酸辣鸡丁
suanlaqinghao 酸辣青蚝
suanlasaozitijin 酸辣臊子蹄筋
suanlatang 酸辣汤
suanlatijin 酸辣蹄筋
suanlatudousi 酸辣土豆丝
suanlayouyusi 酸辣鱿鱼丝
suanlayu 酸辣鱼
suanlazhouzi 酸辣肘子
suanmei 酸莓
suanmeitang 酸梅汤
suanmiaochaoxia 蒜苗炒虾
suanmiaohuojipai 蒜苗火鸡排
suanmoguantou 酸蘑罐头
suannaiditangdangao 酸奶低糖蛋糕
suannaimusidangao 酸奶慕丝蛋糕
suannaiqifeng 酸奶戚风
suannaizhishidangao 酸奶芝士蛋糕
suannihuanggua 蒜泥黄瓜
suanniqiezi 蒜泥茄子
suanniuru 酸牛乳
suanronglajiaoxianyoubao 蒜蓉辣椒鲜鱿煲
suantaishaorou 蒜薹烧肉
suantangersi 酸汤饵丝
suantanglonggumian 酸汤龙骨面
suantangmixian 酸汤米线
suanxiangdouchizhengshanbei 蒜香豆豉蒸扇贝
suanxiangjianhaixia 蒜香煎海虾
suanxiangnianyu 蒜香鲶鱼
suanxinghong 酸性红
suanyancaichaoou 酸腌菜炒藕
suanzaolu 酸枣露
suanzaorengouqicha 酸枣仁枸杞茶
suanzaose 酸枣色
suanzaozhiqishui 酸枣汁汽水
suanziyaozhudoumiao 蒜子瑶柱豆苗
suanziyaozhupu 蒜子瑶柱脯
suichuangougunao 遂川狗牯脑
suimijiding 碎米鸡丁
suimojiding 碎末鸡丁
suiwangfuxilie 隋王府系列
suiyangkongxinmian 绥阳空心面
sunbaoyutang 笋鲍鱼汤
sunshaohaishen 笋烧海参
sunsibaiye 笋丝百叶
suojiajidianfenna 羧甲基淀粉钠
suojiajixianweisuna 羧甲基纤维素钠
suozixie 梭子蟹
tabidejiari 塔比的假日
tamuyu 鳎目鱼
tatamian 挞挞面
taianjianbing 泰安煎饼
taianyoujianbao 泰安油煎包
taibaiya 太白鸭
taicaimingxia 苔菜明虾
taicaiqiancengsu 苔菜千层酥
taicaixiaofangkao 苔菜小方烤
taicaiyouzhanzi 苔菜油占子
taicha 台茶
taidemadi 泰德马帝
taiguozhayu 泰国炸鱼
taihetaopu 太和桃脯
taijiganbajun 太极干巴菌
taijishuangni 太极双泥
taijishuangsi 太极双丝
taijiyuchi 太极鱼翅
taijiyutou 太极芋头
taishibing 太史饼
taishilurousu 台式卤肉酥
taishisanbeiji 台式三杯鸡
taiwanqingzao 台湾青枣
taiwansheng 台湾省
taiyang 太阳
taiyangbing 太阳饼
taiyanggao 太阳糕
taiyeji 太爷鸡
taizimaijiao 太子麦蕉
taizishenwuhuaguoshouroutang 太子参无花果瘦肉汤
tanshaopijiu 碳烧啤酒
tansuangai 碳酸钙
tansuanjia 碳酸钾
tansuanmei 碳酸镁
tansuanna 碳酸钠
tansuanqingan 碳酸氢铵
tansuanqingjia 碳酸氢钾
tansuanqingna 碳酸氢钠
tansuanqingsanna 碳酸氢三钠
tanyanggongfucha 坦洋工夫茶
tanzirou 坛子肉
tangbancaixin 糖拌菜心
tangbao 汤包
tangbaoshuangcui 汤爆双脆
tangchaolizi 糖炒栗子
tangchaoxiaban 糖炒虾瓣
tangcudaiyu 糖醋带鱼
tangcugulurou 糖醋咕噜肉
tangcuheou 糖醋荷藕
tangcuhongshijiao 糖醋红柿椒
tangcujikuai 糖醋鸡块
tangcujiyuan 糖醋鸡圆
tangculiji 糖醋里脊
tangculiyu 糖醋鲤鱼
tangcumirou 糖醋蜜肉
tangcumianjin 糖醋面筋
tangcunenou 糖醋嫩藕
tangcuoukuai 糖醋藕块
tangcupaigu 糖醋排骨
tangcupaocai 糖醋泡菜
tangcuruanliuhuangheliyu 糖醋软熘黄河鲤鱼
tangcuruanliuliyubeimian 糖醋软熘鲤鱼焙面
tangcusupaigu 糖醋素排骨
tangcuwaguanyu 糖醋瓦罐鱼
tangcuwakuaiyu 糖醋瓦块鱼
tangcuwosun 糖醋莴笋
tangcuxianou 糖醋鲜藕
tangcuxiaoluobo 糖醋小萝卜
tangcuxiaopai 糖醋小排
tangcuyujuan 糖醋鱼卷
tangcuyutiao 糖醋鱼条
tangcuzhuyao 糖醋猪腰
tangerduo 糖耳朵
tangfen 糖粉
tangfenruannuoba 糖粉软糯粑
tangguihua 糖桂花
tanghuadangao 糖花蛋糕
tanghuameizhiji 糖化酶制剂
tanghuoshao 糖火烧
tangjiang 糖浆
tangjiangyu 糖酱鱼
tangjiaoshujiao 糖胶树胶
tangjingna 糖精钠
tangjuanguo 糖卷果
tanglengmian 汤冷面
tangliuliyu 糖熘鲤鱼
tangmihuahenuomibing 糖米花和糯米饼
tangshebing 糖舌饼
tangshui 糖水
tangshuihongshuyuanzi 糖水红薯圆子
tangshuihuangtaoguantou 糖水黄桃罐头
tangshuilizhiguantou 糖水荔枝罐头
tangshuiputaoguantou 糖水葡萄罐头
tangshuitianxingguantou 糖水甜杏罐头
tangshuixingguantou 糖水杏罐头
tangshuiyangliguantou 糖水洋梨罐头
tangsujianbing 糖酥煎饼
tangtuibao 糖腿包
tangtuibaozi 糖腿包子
tangtuiposubaozi 糖腿破酥包子
tangxindan 糖心蛋
tangyang 汤羊
tangyipaodan 糖衣炮弹
tangyuanguozi 汤圆锅子
taohuajitui 桃花鸡腿
taojinniang 桃金娘
taomazhuyougao 桃麻猪油糕
taopiangao 桃片糕
taoqijijuan 桃杞鸡卷
taoquan 桃醛
taorenjiding 桃仁鸡丁
taorenyafang 桃仁鸭方
taosibao 套四宝
taosu 桃酥
taosujigao 桃酥鸡糕
taozisela 桃子色拉
tedingjiduibenerfen 特丁基对苯二酚
tejiganlanyou 特级橄榄油
tejixianjuqishui 特级鲜桔汽水
tejiabing 特加饼
teweiguozhitang 特味果汁糖
tijiangyuebing 提浆月饼
tijiangyuebinghewurenyuebing 提浆月饼和五仁月饼
tilamisu 提拉米苏
tilamisuzhishibing 提拉米苏芝士饼
tilijiabinggan 体力架饼干
tisifagao 提丝发糕
tizibailianrongruanyuebing 提子白莲蓉软月饼
tiziheitanggao 提子黑糖糕
tianaituan 甜艾团
tiancaihong 甜菜红
tiancha 甜茶
tianchengyou 甜橙油
tiandongmijian 天冬蜜饯
tiangua 甜瓜
tianguo 天果
tianhehaoeryu 天合耗儿鱼
tianhongbao 天红宝
tianhufengpian 天湖凤片
tianjiyouruantang 田鸡油软糖
tianjiaonanguatang 甜椒南瓜汤
tianjiaorousi 甜椒肉丝
tianjinbaozi 天津包子
tianjingaotiao 天津糕条
tianjingongbing 天津宫饼
tianjinshi 天津市
tianjingjiao 田菁胶
tianjiu 甜酒
tianjulvcha 甜菊绿茶
tianjutang 甜菊糖
tianjutanggan 甜菊糖苷
tianlahuiguorou 甜辣回锅肉
tianletianshou 添乐添寿
tianma 天麻
tianmabaoyutang 天麻鲍鱼汤
tianmagoutengzhou 天麻钩藤粥
tianmajiu 天麻酒
tianmaqiguoji 天麻汽锅鸡
tianmaquanji 天麻全鸡
tianmayutoutang 天麻鱼头汤
tianmanhadun 甜曼哈顿
tianmendongansuan 天门冬氨酸
tianmendongxiananmei 天门冬酰胺酶
tianmendongxianbenansuanjiazhi 天门冬酰苯氨酸甲酯
tianmimiguojiangbuding 甜蜜蜜果酱布丁
tianmisu 甜蜜素
tianmuhongqingdou 天目烘青豆
tianmusungan 天目笋干
tiannaxiheini 田纳西黑泥
tiannaiyou 甜奶油
tianouzhou 甜藕粥
tianpanzi 甜盘子
tianputao 甜蒲桃
tianranbohenao 天然薄荷脑
tianranguoshuyinliao 天然果蔬饮料
tianranxiancaihong 天然苋菜红
tianranxiangjiao 天然橡胶
tianren 天仁
tianrenyouji 天人有机
tianshanhonglv 天山烘绿
tianshaobai 甜烧白
tianshidangao 天使蛋糕
tianshimidoudangao 天使蜜豆蛋糕
tiansuanhaizhe 甜酸海蜇
tiantianhaoshi 天天好食
tiantianquan 甜甜圈
tianweiji 甜味剂
tianxiadiyibao 天下第一包
tianyeju 甜叶菊
tianyumiguantou 甜玉米罐头
tianyumiyinliao 甜玉米饮料
tianyuanguozhi 田园果汁
tianyuanmogushala 田园蘑菇沙拉
tianyuantang 田园汤
tiaoheyou 调和油
tiaoweijiang 调味酱
tiaoweiyou 调味油
tiebaziji 铁扒仔鸡
tiebanfupiya 铁板腐皮鸭
tiebanhaoyouliziji 铁板蚝油栗子鸡
tiebanheijiaoniuliu 铁板黑椒牛柳
tiebanyouyu 铁板鱿鱼
tiebanyouyuxu 铁板鱿鱼须
tieguanyin 铁观音
tieguodan 铁锅蛋
tieshizitou 铁狮子头
tongcaodunzhujiao 通草炖猪脚
tongcaojiyutang 通草鲫鱼汤
tongcaopaigutang 通草排骨汤
tongdan 桐蛋
tongguannianyutang 潼关鲶鱼汤
tongguantang 统管糖
tonghaidoumotang 通海豆末糖
tonglubaili 桐庐白梨
tongluoshao 铜锣烧
tongxinfen 通心粉
tongyuantang 同源堂
tongziji 筒子鸡
tudoubaba 土豆粑粑
tudoubing 土豆饼
tudoudangao 土豆蛋糕
tudoudunniurou 土豆炖牛肉
tudouguanmenji 土豆罐焖鸡
tudouni 土豆泥
tudoupaigutang 土豆排骨汤
tudoushaopaigu 土豆烧排骨
tudoushaorou 土豆烧肉
tudousongbingcuinai 土豆松饼脆奶
tudousonggao 土豆松糕
tuercaoquan 兔耳草醛
tuerqikafei 土耳其咖啡
tufulingdunzhurou 土茯苓炖猪肉
tuganjidantang 兔肝鸡蛋汤
tupu 兔脯
turoudunjijiao 兔肉炖鸡脚
tusi 吐司
tutuomabing 土沱麻饼
tuwen 吐温
tuanyuantang 团圆汤
tunfacaisansi 氽发菜三丝
tunjinao 氽脊脑
tunlv 屯绿
tunnayu 吞拿鱼
tunnayuguantou 吞拿鱼罐头
tunsanyanger 氽三样儿
tunwanzi 氽丸子
tunxizuixie 屯溪醉蟹
tunxiamohai 氽虾蘑海
tunyineryashe 氽银耳鸭舌
tuofeng 驼峰
tuokuxingrenguantou 脱苦杏仁罐头
tuopan 托盘
tuoqingyisuan 脱氢乙酸
tuoqingyisuanna 脱氢乙酸钠
tuoqingyuanyoutong 脱氢圆柚酮
tuosikadangao 托司卡蛋糕
tuotuojirou 砣砣鸡肉
tuoyixianjiaqiaosu 脱乙酰甲壳素
tuozhinaifen 脱脂奶粉
tuozhiniunai 脱脂牛奶
wadisu 袜底酥
wanadangao 瓦那蛋糕
washihuangyu 蛙式黄鱼
wasitekekafei 瓦斯特克咖啡
wandoufen 豌豆粉
wandouhuang 豌豆黄
wandouhuanger 豌豆黄儿
wandoujisi 豌豆鸡丝
wanguwang 皖古王
wannengkaoxiang 万能烤箱
wannianchangqing 万年长青
wanxihuangdacha 皖西黄大茶
wangbaoguiyu 网包鳜鱼
wanghaitiantianyugang 望海天天渔港
wangpomalaji 王婆麻辣鸡
wangqingcha 网清茶
wangwangqingquan 往往清泉
wangyouyaojuan 网油腰卷
wangyouyubao 网油鱼包
weiduoliyasanmingzhi 维多利亚三明治
weifuruanbaozhuangguantou 味付软包装罐头
weihuabinggan 威化饼干
weijingxianjujing 微晶鲜桔晶
weijingxianweisu 微晶纤维素
weijingxianggao 味精香糕
weikangshulilizao 维康舒粒粒枣
weikaoguiyu 煨烤桂鱼
weilizhenweirouzaoguan 维力珍味肉燥罐
weilin 威林
weiluhuoguo 围炉火锅
weinisiheidangao 威尼斯黑蛋糕
weinixiongkekedangao 维尼熊可可蛋糕
weiningqiaosu 威宁荞酥
weiniurouyuebing 煨牛肉月饼
weirouyuebing 威肉月饼
weishanmaojian 沩山毛尖
weishanmijian 巍山蜜饯
weishengsu 维生素
weishijikule 威士忌库勒
weishijisuda 威士忌苏打
weiyenabingkafei 维也纳冰咖啡
weiyenakafei 维也纳咖啡
weiyenaqiaokelixingrendangao 维也纳巧克力杏仁蛋糕
weiyuan 味源
wenchanganba 文昌按粑
wenchangkongxinjiandui 文昌空心煎堆
wendan 文旦
wendingji 稳定剂
wendingtaieryanghualv 稳定态二氧化氯
wenguidaxia 玟瑰大虾
wenjiangsutang 温江酥糖
wenjingcha 问荆茶
wenjiuzuixia 温酒醉虾
wenquancai 温泉菜
wenquandan 温泉蛋
wenquanji 温泉鸡
wenshanjiding 文山鸡丁
wenxizhubing 闻喜煮饼
wenzhouhuangtangcha 温州黄汤茶
wojingtanshaizigao 倭井潭色子糕
wojingtanyinggao 倭井潭硬糕
wojingtanzhuangyuangao 倭井潭状元糕
wokainuo 沃凯诺
wositang 窝丝糖
wosun 莴笋
wosunbanbairou 莴笋拌白肉
wosunyezi 莴笋叶子
wubaoliji 芜爆里脊
wubaoshanji 芜爆山鸡
wucaichaoshesi 五彩炒蛇丝
wucainiurousi 五彩牛肉丝
wucaixiasong 五彩虾松
wucaixiaochao 五彩小炒
wucaixiehe 五彩蟹盒
wudingyuyuan 五丁鱼圆
wufatang 乌发汤
wufaxianrenzhou 乌发仙人粥
wufanguo 乌饭果
wufenglou 五凤楼
wufuzuiji 五夫醉鸡
wugaishanmicha 五盖山米茶
wugengchangwang 五更肠旺
wugujiguihuangtang 乌骨鸡归黄汤
wuguodoushadong 五果豆沙冻
wuhanruantang 武汉软糖
wuheju 无核桔
wuhetangzao 无核糖枣
wuhexiaoputao 无核小葡萄
wuhuwufantuan 芜湖乌饭团
wuhuacha 五花茶
wuhuaguo 无花果
wuhuaguodunrou 无花果炖肉
wuhuaguodunshourou 无花果炖瘦肉
wuhuarouchaodoufupaocai 五花肉炒豆腐泡菜
wuhuazun 五华尊
wujirouguiquan 戊基肉桂醛
wujiapijiu 五加皮酒
wujiapishourouzhou 五加皮瘦肉粥
wuliuguiyu 雾熘桂鱼
wuliuhuanghuayu 五柳黄花鱼
wuliuqingyu 五柳青鱼
wuliuxianyu 五柳鲜鱼
wuliuyu 五柳鱼
wuliuyusi 五柳鱼丝
wulongcha 乌龙茶
wulv 婺绿
wumeihongtangyin 乌梅红糖饮
wumidaotizong 乌米倒提粽
wumizhou 毋米粥
wurensu 五仁酥
wurensu 伍仁酥
wusedamagao 五色大麻糕
wusefanggao 五色方糕
wuseyuding 五色鱼丁
wushanchi 五山池
wushenyin 五神饮
wusiyangfen 五丝洋粉
wutanshuangsuoquan 五碳双缩醛
wutangdouzhaxianweiyinliao 无糖豆渣纤维饮料
wuweibairou 五味白肉
wuweijianxie 五味煎蟹
wuweimingxiapian 五味明虾片
wuweixunya 无为熏鸭
wuxiroupai 无锡肉排
wuxiangcuipiji 五香脆皮鸡
wuxiangdoufugansi 五香豆腐干丝
wuxiangfeiya 五香肥鸭
wuxianggourou 五香狗肉
wuxianghuasheng 五香花生
wuxiangkugua 五香苦瓜
wuxiangsubing 五香酥饼
wuxiangyangrou 五香羊肉
wuxiangyangtourou 五香羊头肉
wuxuesutang 武穴酥糖
wuyanghaocha 无钖毫茶
wuyoutangmahua 伍佑糖麻花
wuyudan 乌鱼蛋
wuyuehuatangshuibantaoshuiguoguantou 五月花糖水半桃水果罐头
wuzhanmao 乌毡帽
wuzhishancha 五指山茶
wuzhoudongbaicha 婺州东白茶
wuzhoujuyan 婺州举岩
wuzhouyuebing 梧州月饼
xianyousubing 西安油酥饼
xibanyachunnaikafei 西班牙醇奶咖啡
xibuniuzaishaokaocheng 西部牛仔烧烤城
xicanchushi 西餐厨师
xifengtequ 西凤特麯
xiguachidouzhou 西瓜赤豆粥
xiguaji 西瓜鸡
xiguajiangguantou 西瓜酱罐头
xiguanailao 西瓜奶酪
xiguazhiyinliao 西瓜汁饮料
xiguazhong 西瓜盅
xihongshi 西红柿
xihongshichaodan 西红柿炒蛋
xihongshifeicuimian 西红柿翡翠面
xihongshiniuroudunyangbaicai 西红柿牛肉炖洋白菜
xihongshiniuroutang 西红柿牛肉汤
xihongshiroupiantang 西红柿肉片汤
xihubaolingmi 西湖保灵蜜
xihuchousan 西湖绸伞
xihuchuncai 西湖莼菜
xihucuyu 西湖醋鱼
xihuguihuaoufen 西湖桂花藕粉
xihulongjing 西湖龙井
xihumihuangcaihua 西湖蜜皇彩花
xihuoufen 西湖藕粉
xihutianzhukuai 西湖天竺筷
xihuagao 细花糕
xihuakalajiao 硒化卡拉胶
xilaluomashikafei 希腊罗马式咖啡
xilanhua 西兰花
xilanhuadalongxia 西兰花大龙虾
xilefu 希乐夫
xileng 西冷
xili 喜立
xilingyinni 西泠印泥
xinianlaishipin 喜年来食品
xipin 喜品
xiqin 西芹
xiqinbaihe 西芹百合
xiqinjizhun 西芹鸡肫
xiqinxiaren 西芹虾仁
xiqinghuagao 喜庆花糕
xiquedengzhi 喜鹊登枝
xishabaisu 洗沙白酥
xishalvdougao 细沙绿豆糕
xishenkafei 希神咖啡
xishikaomianbao 西式烤面包
xishilusuntang 西式芦笋汤
xishimihuagao 西式米花糕
xishisubing 西式酥饼
xishituanyuanbing 西施团圆饼
xishiyuebing 西式月饼
xitingcuibing 西亭脆饼
xiwaiwai 喜歪歪
xixilimianbao 西西里面包
xixiangniurougan 西乡牛肉干
xiyangcaimizaojiyutang 西洋菜蜜枣鲫鱼汤
xiyanghuiji 西洋烩鸡
xiyanglizi 西洋李子
xiyangshenhongzaodunruge 西洋参红枣炖乳鸽
xiyinduyingtao 西印度樱桃
xiyousanwenyu 西柚三文鱼
xizhiruge 西汁乳鸽
xizhouyu 喜洲鱼
xiamenbaobing 厦门薄饼
xiamenyupihuasheng 厦门鱼皮花生
xiamibandoufu 虾米拌豆腐
xiamichaohuanggua 虾米炒黄瓜
xiamichaoqincai 虾米炒芹菜
xiapianzhou 虾片粥
xiarenluobopu 虾仁萝卜脯
xiarensu 虾仁酥
xiarentusi 虾仁吐司
xiarongniangmianbao 虾茸酿面包
xiarouyuanyangcai 虾肉鸳鸯菜
xiarouyuebing 虾肉月饼
xiaweiyibingkafei 夏威夷冰咖啡
xiaweiyiguo 夏威夷果
xiaxuniurou 虾须牛肉
xiazhoubifengcha 峡州碧峰茶
xianbaihejiannianglvdou 鲜百合煎酿绿豆
xianbeidongguaqiu 鲜贝冬瓜球
xianbing 鲜饼
xiancaihong 苋菜红
xiancaihonglvsedian 苋菜红铝色淀
xianchaoyupian 鲜炒鱼片
xianchengduo 鲜橙多
xianchengzhiqishui 鲜橙汁汽水
xiandanjieguayuweitang 咸蛋节瓜鱼尾汤
xiandanzhengroubing 咸蛋蒸肉饼
xiandeweixianglajinqiangyuguantou 鲜得味香辣金枪鱼罐头
xiandushikafei 仙度氏咖啡
xianguxiawantang 鲜菇虾丸汤
xianguyupian 鲜菇鱼片
xianguogeng 鲜果羹
xianguomingzhugeng 鲜果明珠羹
xianguoyiner 鲜果银耳
xianguoyuni 鲜果芋泥
xianhamiguazhi 鲜哈蜜瓜汁
xianhamiguazhi 鲜哈密瓜汁
xianhebaoyu 仙鹤鲍鱼
xianhewangjinqiao 仙鹤望金桥
xianhuabaiyujipian 鲜花白玉鸡片
xianhuabing 鲜花饼
xianhuatengluobing 鲜花滕萝饼
xianjitang 鲜鸡汤
xianjiaonenziji 鲜椒嫩仔鸡
xianjinzao 咸金枣
xianlizhi 鲜荔枝
xianlingpi 仙灵脾
xianliujiding 鲜溜鸡丁
xianmochaoroupian 鲜蘑炒肉片
xianmodoufu 鲜蘑豆腐
xianmogudundoufu 鲜蘑菇炖豆腐
xianmozhengji 鲜蘑蒸鸡
xiannaidangao 鲜奶蛋糕
xiannaidanjuan 鲜奶蛋卷
xiannaifenglipai 鲜奶凤梨派
xiannaimogu 鲜奶蘑菇
xiannaipaofu 鲜奶泡夫
xiannaiwangao 鲜奶碗糕
xiannaiyoubianzimianbao 鲜奶油辫子面包
xiannaiyu 鲜奶鱼
xiannaiyuronggeng 鲜奶鱼茸羹
xiannaizhuyu 鲜奶煮鱼
xianningcuixiaqiu 鲜柠脆虾球
xianningguihuagao 咸宁桂花糕
xianniunaizhuyu 鲜牛奶煮鱼
xianrenshenchaguantou 鲜人参茶罐头
xianrenzhangcha 仙人掌茶
xianrenzhangguo 仙人掌果
xianroubao 鲜肉包
xianroubaozi 鲜肉包子
xianrouyuebing 鲜肉月饼
xianrouzhacaiyuebing 鲜肉榨菜月饼
xianshaobai 咸烧白
xianweiculiangbing 纤维粗粮饼
xianweidaxia 鲜味大虾
xianweinaiyoutang 咸味奶油糖
xianxiabadoumiao 鲜虾扒豆苗
xianxiafupijuan 鲜虾腐皮卷
xianxiaxieliushala 鲜虾蟹柳沙拉
xianyangcha 纤扬茶
xianyouzizhi 鲜柚子汁
xianyuguozi 咸鱼锅子
xianyujilizhudoufu 咸鱼鸡粒煮豆腐
xianyuqiezibao 咸鱼茄子煲
xianzhaxiabing 鲜炸虾饼
xianzhensu 咸真酥
xianzhuniurou 鲜竹牛肉
xiangbinjiu 香槟酒
xiangboxuenuofan 香菠血糯饭
xiangcai 湘菜
xiangcaifen 香菜粉
xiangcaodangao 香草蛋糕
xiangcaodanta 香草蛋挞
xiangcaoguiyushuzaibing 香草鲑鱼薯仔饼
xiangcaolvdougao 香草绿豆糕
xiangchangchaoyoucai 香肠炒油菜
xiangchanger 香肠儿
xiangchangjielan 香肠芥兰
xiangchangshaocaihua 香肠烧菜花
xiangchangyoucai 香肠油菜
xiangchenggao 香橙糕
xiangchengguochadangao 香橙果茶蛋糕
xiangchenglanmeidangao 香橙蓝莓蛋糕
xiangchunbairousi 香椿白肉丝
xiangcongchaodachang 香葱炒大肠
xiangcongchaowandou 香葱炒豌豆
xiangcongjianniangdoufu 香葱煎酿豆腐
xiangcongsudabinggan 香葱苏打饼干
xiangcongzhimabing 香葱芝麻饼
xiangcuzhushou 香醋猪手
xiangcuiguoba 香脆锅巴
xiangcuiguobing 香脆果饼
xiangcuipingguoxiaren 香脆苹果虾仁
xiangcunxiaochaoji 乡村小炒鸡
xiangcunyumibing 乡村玉米饼
xiangdeli 香德利
xiangdipijiu 香迪啤酒
xiangfengcao 香蜂草
xiangfucha 香附茶
xiangfudoufutang 香附豆腐汤
xianggubao 香菇包
xianggubaozi 香菇包子
xianggudoujiao 香菇豆角
xianggujiaobaitang 香菇茭白汤
xiangguroujiangguantou 香菇肉酱罐头
xianggushaocaixin 香菇烧菜心
xianggusuji 香菇素鸡
xiangguxilanhua 香菇西兰花
xiangguyupianzhou 香菇鱼片粥
xiangguzuiji 香菇醉鸡
xianghoukeguipiyou 香厚壳桂皮油
xianghualuyuqiu 香滑鲈鱼球
xianghuayezhigao 香滑椰汁糕
xiangjiancaipudan 香煎菜脯蛋
xiangjianjiucaihe 香煎韭菜盒
xiangjianlianoubing 香煎莲藕饼
xiangjiannanguabing 香煎南瓜饼
xiangjianniuzaigu 香煎牛仔骨
xiangjianpingguoshubing 香煎苹果薯饼
xiangjianqiepian 香煎茄片
xiangjiansalamitudoubing 香煎萨拉米土豆饼
xiangjiantudoubing 香煎土豆饼
xiangjiangjiyu 湘江鲫鱼
xiangjiaobingtangtang 香蕉冰糖汤
xiangjiaochuan 香蕉船
xiangjiaodangao 香蕉蛋糕
xiangjiaodannaibing 香蕉蛋奶饼
xiangjiaoguolimafen 香蕉果粒玛芬
xiangjiaoguozha 香蕉锅炸
xiangjiaoguozha 香蕉果炸
xiangjiaohetaobinggan 香蕉核桃饼干
xiangjiaoroupu 香蕉肉脯
xiangjiaoruantang 香蕉软糖
xiangjiaosu 香蕉酥
xiangjiaoximigeng 香蕉西米羹
xiangjiaozhishidangao 香蕉芝士蛋糕
xiangjiaozhizaoketangshui 香蕉治燥咳糖水
xiangjiaozhou 香蕉粥
xianglachaoxie 香辣炒蟹
xianglacuipimingxia 香辣脆皮明虾
xianglafenzhengrou 香辣粉蒸肉
xianglaji 香辣鸡
xianglakalimianbao 香辣咖哩面包
xianglalujixin 香辣滷鸡心
xianglalusun 香辣卤笋
xianglamaodou 香辣毛豆
xianglapenpenxia 香辣盆盆虾
xianglarousi 香辣肉丝
xianglatihua 香辣蹄花
xianglaxia 香辣虾
xianglaxiangcunxiaochaoji 香辣乡村小炒鸡
xianglansu 香兰素
xianglianguantou 湘莲罐头
xianglinghaishen 响铃海参
xianglingqiu 响铃球
xianglingrouyuan 响铃肉圆
xianglupingguo 香露苹果
xiangmangxintairuan 香芒心太软
xiangmaochun 香茅醇
xiangmaoquan 香茅醛
xiangnongzhishiqiu 香浓芝士球
xiangpianbianzibao 香片辫子包
xiangqintong 香芹酮
xiangruanegangao 香软鹅肝糕
xiangshisudian 湘式酥点
xiangsubing 香酥饼
xiangsudanmaiquqi 香酥丹麦曲奇
xiangsudanta 香酥蛋挞
xiangsudantazhong 香酥蛋塔盅
xiangsufengtui 香酥凤腿
xiangsugao 香酥糕
xiangsuji 香酥鸡
xiangsumitang 香酥米糖
xiangsuniuliujuan 香酥牛柳卷
xiangsuquanjihekaoquanyaguantou 香酥全鸡和烤全鸭罐头
xiangsuroupianqisi 香酥肉片起司
xiangsushanyao 香酥山药
xiangsusuyakuai 香酥素鸭块
xiangsutianya 香酥填鸭
xiangsuxiangjiaojuan 香酥香蕉卷
xiangsuya 香酥鸭
xiangsuyangpai 香酥羊排
xiangsuzhusunyu 香酥竹荪鱼
xiangsuangalichaoxie 香蒜咖喱炒蟹
xiangtianjiu 香甜酒
xiangtianye 香天液
xiangwan 镶碗
xiangyangedan 象眼鸽蛋
xiangyechun 香叶醇
xiangyeyou 香叶油
xiangyoumihuatang 香油米花糖
xiangyoushilin 香油石鳞
xiangyubaicai 香鱼白菜
xiangyubingpiyuebing 香芋冰皮月饼
xiangyudangao 香芋蛋糕
xiangyukourou 香芋扣肉
xiangyuyouyabao 香芋油鸭煲
xiangzhajinpian 香炸金片
xiangzhalongfengdan 香炸龙凤蛋
xiangzhaluosijuan 香炸螺丝卷
xiangzhaxueli 香炸雪梨
xiangzhayunwu 香炸云雾
xiangzhicufengweikaoji 香脂醋风味烤鸡
xiangzikezong 橡子壳棕
xiaobiandou 小扁豆
xiaochagao 小茶糕
xiaochaopangxie 小炒螃蟹
xiaocongshaocaiyu 小葱烧财鱼
xiaocongzhimabing 小葱芝麻饼
xiaodougao 小豆糕
xiaodougeng 小豆羹
xiaoduer 小肚儿
xiaofengbing 小凤饼
xiaohaisutang 小孩酥糖
xiaoheizi 小黑子
xiaohongtou 小红头
xiaohuangyu 小黄玉
xiaohuozhu 小火煮
xiaojisu 小鸡酥
xiaojianji 小煎鸡
xiaojianziji 小煎仔鸡
xiaojiuguan 小酒馆
xiaojuanfen 小卷粉
xiaolinhuangjiang 小林黄姜
xiaomaicaodanta 小麦草蛋挞
xiaomaipijiu 小麦啤酒
xiaomaojiao 小猫脚
xiaonaokeshaokao 小脑壳烧烤
xiaopaoji 消泡剂
xiaoqiaohuotuisu 小巧火腿酥
xiaoshanhuabian 萧山花边
xiaoshanluobogan 萧山萝卜干
xiaoshanyangmei 萧山杨梅
xiaoshuyangshengcha 消暑养生茶
xiaosuanliuansu 硝酸硫胺素
xiaosuanna 硝酸钠
xiaosuannaxiaosuanjia 硝酸钠硝酸钾
xiaotaosu 小桃酥
xiaotaoyuanweitang 小桃园煨汤
xiaotiane 小天鹅
xiaotiantian 小甜甜
xiaoxifuchuanchuanxiang 小媳妇串串香
xiaoxiangwuyuangui 潇湘五元龟
xiaoxiangzhushou 潇湘猪手
xiaoxiongbinggan 小熊饼干
xiaoyanggeng 小羊羹
xiaoyaobaiyugua 逍遥白玉瓜
